top.pd2.cpu0 loadEvent,top.pd2.cpu0 storeEvent,time(us)
0,0,1
0,0,2
1,0,3
0,0,4
1,0,5
0,0,6
1,0,7
0,0,8
1,0,9
0,0,10
1,0,11
0,0,12
1,0,13
0,0,14
1,0,15
0,0,16
0,1,17
0,0,18
0,1,19
0,0,20
1,0,21
0,0,22
0,1,23
0,0,24
0,1,25
0,0,26
1,0,27
0,0,28
0,1,29
0,0,30
1,0,31
0,0,32
1,0,33
0,0,34
0,1,35
0,0,36
0,1,37
0,0,38
0,1,39
0,0,40
1,0,41
0,0,42
0,1,43
0,0,44
0,1,45
0,0,46
0,1,47
0,0,48
1,0,49
0,0,50
0,1,51
0,0,52
1,0,53
0,0,54
0,1,55
0,0,56
1,0,57
0,0,58
0,1,59
0,0,60
0,1,61
0,0,62
1,0,63
0,0,64
1,0,65
0,0,66
0,1,67
0,0,68
1,0,69
0,0,70
0,1,71
0,0,72
1,0,73
0,0,74
0,1,75
0,0,76
1,0,77
0,0,78
0,1,79
0,0,80
0,1,81
0,0,82
0,1,83
0,0,84
1,0,85
0,0,86
0,1,87
0,0,88
0,1,89
0,0,90
0,1,91
0,0,92
1,0,93
0,0,94
1,0,95
0,0,96
1,0,97
0,0,98
1,0,99
0,0,100
0,1,101
0,0,102
0,1,103
0,0,104
0,1,105
0,0,106
0,1,107
0,0,108
1,0,109
0,0,110
0,1,111
0,0,112
1,0,113
0,0,114
1,0,115
0,0,116
0,1,117
0,0,118
0,1,119
0,0,120
1,0,121
0,0,122
1,0,123
0,0,124
0,1,125
0,0,126
1,0,127
0,0,128
0,1,129
0,0,130
0,1,131
0,0,132
0,1,133
0,0,134
1,0,135
0,0,136
0,1,137
0,0,138
1,0,139
0,0,140
0,1,141
0,0,142
1,0,143
0,0,144
1,0,145
0,0,146
0,1,147
0,0,148
0,1,149
0,0,150
0,1,151
0,0,152
1,0,153
0,0,154
1,0,155
0,0,156
1,0,157
0,0,158
1,0,159
0,0,160
1,0,161
0,0,162
1,0,163
0,0,164
1,0,165
0,0,166
1,0,167
0,0,168
0,1,169
0,0,170
0,1,171
0,0,172
0,1,173
0,0,174
1,0,175
0,0,176
1,0,177
0,0,178
1,0,179
0,0,180
1,0,181
0,0,182
0,1,183
0,0,184
1,0,185
0,0,186
1,0,187
0,0,188
1,0,189
0,0,190
0,1,191
0,0,192
0,1,193
0,0,194
0,1,195
0,0,196
1,0,197
0,0,198
0,1,199
0,0,200
1,0,201
0,0,202
1,0,203
0,0,204
0,1,205
0,0,206
1,0,207
0,0,208
1,0,209
0,0,210
1,0,211
0,0,212
1,0,213
0,0,214
0,1,215
0,0,216
1,0,217
0,0,218
1,0,219
0,0,220
1,0,221
0,0,222
1,0,223
0,0,224
0,1,225
0,0,226
1,0,227
0,0,228
1,0,229
0,0,230
0,1,231
0,0,232
0,1,233
0,0,234
1,0,235
0,0,236
0,1,237
0,0,238
0,1,239
0,0,240
1,0,241
0,0,242
1,0,243
0,0,244
1,0,245
0,0,246
0,1,247
0,0,248
0,1,249
0,0,250
0,1,251
0,0,252
1,0,253
0,0,254
0,1,255
0,0,256
0,1,257
